sentence1	sentence2	gold_label
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 22°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 24°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 28°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 30°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 32°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 34°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 36°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 38°C alcohol is hot.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 80°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 82°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 84°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 88°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 90°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 92°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 94°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 98°C alcohol is hot.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 22°C alcohol is cold.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 24°C alcohol is cold.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 30°C alcohol is cold.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 32°C alcohol is cold.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 34°C alcohol is cold.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 36°C alcohol is cold.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 38°C alcohol is cold.	entailment
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 80°C alcohol is cold.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 84°C alcohol is cold.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 86°C alcohol is cold.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 88°C alcohol is cold.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 92°C alcohol is cold.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 94°C alcohol is cold.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 96°C alcohol is cold.	contradiction
A 80°C alcohol is hot. A 40°C alcohol is cold.	A 98°C alcohol is cold.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 38°C bowl is hot.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 40°C bowl is hot.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 48°C bowl is hot.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 50°C bowl is hot.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 52°C bowl is hot.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 54°C bowl is hot.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 96°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 98°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 100°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 106°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 108°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 110°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 112°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 114°C bowl is hot.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 38°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 40°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 42°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 44°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 50°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 52°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 54°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 56°C bowl is cold.	entailment
A 96°C bowl is hot. A 56°C bowl is cold.	A 96°C bowl is cold.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 100°C bowl is cold.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 102°C bowl is cold.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 104°C bowl is cold.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 108°C bowl is cold.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 110°C bowl is cold.	contradiction
A 96°C bowl is hot. A 56°C bowl is cold.	A 112°C bowl is cold.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 51°C cup is hot.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 53°C cup is hot.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 55°C cup is hot.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 57°C cup is hot.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 63°C cup is hot.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 65°C cup is hot.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 67°C cup is hot.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 107°C cup is hot.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 111°C cup is hot.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 113°C cup is hot.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 115°C cup is hot.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 121°C cup is hot.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 123°C cup is hot.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 125°C cup is hot.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 51°C cup is cold.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 53°C cup is cold.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 55°C cup is cold.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 61°C cup is cold.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 63°C cup is cold.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 65°C cup is cold.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 67°C cup is cold.	entailment
A 107°C cup is hot. A 67°C cup is cold.	A 107°C cup is cold.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 111°C cup is cold.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 113°C cup is cold.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 115°C cup is cold.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 117°C cup is cold.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 119°C cup is cold.	contradiction
A 107°C cup is hot. A 67°C cup is cold.	A 123°C cup is cold.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 62°C oil is hot.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 70°C oil is hot.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 72°C oil is hot.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 76°C oil is hot.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 78°C oil is hot.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 80°C oil is hot.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 120°C oil is hot.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 126°C oil is hot.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 128°C oil is hot.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 132°C oil is hot.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 136°C oil is hot.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 138°C oil is hot.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 62°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 64°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 66°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 68°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 70°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 72°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 74°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 76°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 78°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 80°C oil is cold.	entailment
A 120°C oil is hot. A 80°C oil is cold.	A 120°C oil is cold.	contradiction
A 120°C oil is hot. A 80°C oil is cold.	A 122°C oil is cold.	contradiction
